pdfs/1676632383158_TATA%20IPL%202023%20-%20Match%20Schedule.pdf

Date,Year,Time,Teams,Venue,Match Type,Result
31-Mar-23,2023,7:30 PM,Gujarat Titans vs Chennai Super Kings,Ahmedabad,League,
01-Apr-23,2023,3:30 PM,Punjab Kings vs Kolkata Knight Riders,Mohali,League,
01-Apr-23,2023,7:30 PM,Lucknow Super Giants vs Delhi Capitals,Lucknow,League,
02-Apr-23,2023,3:30 PM,Sunrisers Hyderabad vs Chennai Super Kings,Hyderabad,League,
02-Apr-23,2023,7:30 PM,Royal Challengers Bangalore vs Mumbai Indians,Bengaluru,League,
03-Apr-23,2023,7:30 PM,Chennai Super Kings vs Lucknow Super Giants,Chennai,League,
04-Apr-23,2023,7:30 PM,Delhi Capitals vs Gujarat Titans,Delhi,League,
05-Apr-23,2023,7:30 PM,Rajasthan Royals vs Punjab Kings,Guwahati,League,
06-Apr-23,2023,7:30 PM,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata,League,
07-Apr-23,2023,7:30 PM,Lucknow Super Giants vs Sunrisers Hyderabad,Lucknow,League,
08-Apr-23,2023,3:30 PM,Rajasthan Royals vs Delhi Capitals,Guwahati,League,
08-Apr-23,2023,7:30 PM,Mumbai Indians vs Chennai Super Kings,Mumbai,League,
09-Apr-23,2023,3:30 PM,Gujarat Titans vs Kolkata Knight Riders,Ahmedabad,League,
09-Apr-23,2023,7:30 PM,Sunrisers Hyderabad vs Punjab Kings,Hyderabad,League,
10-Apr-23,2023,7:30 PM,Royal Challengers Bangalore vs Lucknow Super Giants,Bengaluru,League,
11-Apr-23,2023,7:30 PM,Delhi Capitals vs Mumbai Indians,Delhi,League,
12-Apr-23,2023,7:30 PM,Chennai Super Kings vs Rajasthan Royals,Chennai,League,
13-Apr-23,2023,7:30 PM,Punjab Kings vs Gujarat Titans,Mohali,League,
14-Apr-23,2023,7:30 PM,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata,League,
15-Apr-23,2023,3:30 PM,Royal Challengers Bangalore vs Delhi Capitals,Bengaluru,League,
15-Apr-23,2023,7:30 PM,Lucknow Super Giants vs Punjab Kings,Lucknow,League,
16-Apr-23,2023,3:30 PM,Mumbai Indians vs Kolkata Knight Riders,Mumbai,League,
16-Apr-23,2023,7:30 PM,Gujarat Titans vs Rajasthan Royals,Ahmedabad,League,
17-Apr-23,2023,7:30 PM,Royal Challengers Bangalore vs Chennai Super Kings,Bengaluru,League,
18-Apr-23,2023,7:30 PM,Sunrisers Hyderabad vs Mumbai Indians,Hyderabad,League,
19-Apr-23,2023,7:30 PM,Rajasthan Royals vs Lucknow Super Giants,Jaipur,League,
20-Apr-23,2023,3:30 PM,Punjab Kings vs Royal Challengers Bangalore,Mohali,League,
20-Apr-23,2023,7:30 PM,Delhi Capitals vs Kolkata Knight Riders,Delhi,League,
21-Apr-23,2023,7:30 PM,Chennai Super Kings vs Sunrisers Hyderabad,Chennai,League,
22-Apr-23,2023,3:30 PM,Lucknow Super Giants vs Gujarat Titans,Lucknow,League,
22-Apr-23,2023,7:30 PM,Mumbai Indians vs Punjab Kings,Mumbai,League,
23-Apr-23,2023,3:30 PM,Royal Challengers Bangalore vs Rajasthan Royals,Bengaluru,League,
23-Apr-23,2023,7:30 PM,Kolkata Knight Riders vs Chennai Super Kings,Kolkata,League,
24-Apr-23,2023,7:30 PM,Sunrisers Hyderabad vs Delhi Capitals,Hyderabad,League,
25-Apr-23,2023,7:30 PM,Gujarat Titans vs Mumbai Indians,Ahmedabad,League,
26-Apr-23,2023,7:30 PM,Royal Challengers Bangalore vs Kolkata Knight Riders,Bengaluru,League,
27-Apr-23,2023,7:30 PM,Rajasthan Royals vs Chennai Super Kings,Jaipur,League,
28-Apr-23,2023,7:30 PM,Punjab Kings vs Lucknow Super Giants,Mohali,League,
29-Apr-23,2023,3:30 PM,Kolkata Knight Riders vs Gujarat Titans,Kolkata,League,
29-Apr-23,2023,7:30 PM,Delhi Capitals vs Sunrisers Hyderabad,Delhi,League,
30-Apr-23,2023,3:30 PM,Chennai Super Kings vs Punjab Kings,Chennai,League,
30-Apr-23,2023,7:30 PM,Mumbai Indians vs Rajasthan Royals,Mumbai,League,
01-May-23,2023,7:30 PM,Lucknow Super Giants vs Royal Challengers Bangalore,Lucknow,League,
02-May-23,2023,7:30 PM,Gujarat Titans vs Delhi Capitals,Ahmedabad,League,
03-May-23,2023,3:30 PM,Lucknow Super Giants vs Chennai Super Kings,Lucknow,League,
03-May-23,2023,7:30 PM,Punjab Kings vs Mumbai Indians,Mohali,League,
04-May-23,2023,7:30 PM,Sunrisers Hyderabad vs Kolkata Knight Riders,Hyderabad,League,
05-May-23,2023,7:30 PM,Rajasthan Royals vs Gujarat Titans,Jaipur,League,
06-May-23,2023,3:30 PM,Chennai Super Kings vs Mumbai Indians,Chennai,League,
06-May-23,2023,7:30 PM,Delhi Capitals vs Royal Challengers Bangalore,Delhi,League,
07-May-23,2023,3:30 PM,Gujarat Titans vs Lucknow Super Giants,Ahmedabad,League,
07-May-23,2023,7:30 PM,Rajasthan Royals vs Sunrisers Hyderabad,Jaipur,League,
08-May-23,2023,7:30 PM,Kolkata Knight Riders vs Punjab Kings,Kolkata,League,
09-May-23,2023,7:30 PM,Mumbai Indians vs Royal Challengers Bangalore,Mumbai,League,
10-May-23,2023,7:30 PM,Chennai Super Kings vs Delhi Capitals,Chennai,League,
11-May-23,2023,7:30 PM,Kolkata Knight Riders vs Rajasthan Royals,Kolkata,League,
12-May-23,2023,7:30 PM,Mumbai Indians vs Gujarat Titans,Mumbai,League,
13-May-23,2023,3:30 PM,Sunrisers Hyderabad vs Lucknow Super Giants,Hyderabad,League,
13-May-23,2023,7:30 PM,Delhi Capitals vs Punjab Kings,Delhi,League,
14-May-23,2023,3:30 PM,Rajasthan Royals vs Royal Challengers Bangalore,Jaipur,League,
14-May-23,2023,7:30 PM,Chennai Super Kings vs Kolkata Knight Riders,Chennai,League,
15-May-23,2023,7:30 PM,Gujarat Titans vs Sunrisers Hyderabad,Ahmedabad,League,
16-May-23,2023,7:30 PM,Lucknow Super Giants vs Mumbai Indians,Lucknow,League,
17-May-23,2023,7:30 PM,Punjab Kings vs Delhi Capitals,Dharamshala,League,
18-May-23,2023,7:30 PM,Sunrisers Hyderabad vs Royal Challengers Bangalore,Hyderabad,League,
19-May-23,2023,7:30 PM,Punjab Kings vs Rajasthan Royals,Dharamshala,League,
20-May-23,2023,3:30 PM,Delhi Capitals vs Chennai Super Kings,Delhi,League,
20-May-23,2023,7:30 PM,Kolkata Knight Riders vs Lucknow Super Giants,Kolkata,League,
21-May-23,2023,3:30 PM,Mumbai Indians vs Sunrisers Hyderabad,Mumbai,League,
21-May-23,2023,7:30 PM,Royal Challengers Bangalore vs Gujarat Titans,Bengaluru,League,
23-May-23,2023,7:30 PM,Qualifier 1 - Team 1 vs Team 2,Chennai,Qualifier,
24-May-23,2023,7:30 PM,Eliminator - Team 3 vs Team 4,Chennai,Eliminator,
26-May-23,2023,7:30 PM,Qualifier 2 - Winner of Eliminator vs Loser of Qualifier 1,Ahmedabad,Qualifier,
28-May-23,2023,7:30 PM,TATA IPL 2023 Final - Winner of Qualifier 1 vs. Winner of Qualifier 2,Ahmedabad,Final,

Winner of season: Gujarat Titans
2023


pdfs/1708603916244_TATA%20IPL%202024%20Fixtures.pdf

Date,Year,Time,Teams,Venue,Match Type,Result
22-03-24,2024,8:00 PM,Chennai Super Kings vs Royal Challengers Bangalore,Chennai,League,
23-03-24,2024,3:30 PM,Punjab Kings vs Delhi Capitals,Mohali,League,
23-03-24,2024,7:30 PM,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata,League,
24-03-24,2024,3:30 PM,Rajasthan Royals vs Lucknow Super Giants,Jaipur,League,
24-03-24,2024,7:30 PM,Gujarat Titans vs Mumbai Indians,Ahmedabad,League,
25-03-24,2024,7:30 PM,Royal Challengers Bangalore vs Punjab Kings,Bengaluru,League,
26-03-24,2024,7:30 PM,Chennai Super Kings vs Gujarat Titans,Chennai,League,
27-03-24,2024,7:30 PM,Sunrisers Hyderabad vs Mumbai Indians,Hyderabad,League,
28-03-24,2024,7:30 PM,Rajasthan Royals vs Delhi Capitals,Jaipur,League,
29-03-24,2024,7:30 PM,Royal Challengers Bangalore vs Kolkata Knight Riders,Bengaluru,League,
30-03-24,2024,7:30 PM,Lucknow Super Giants vs Punjab Kings,Lucknow,League,
31-03-24,2024,3:30 PM,Gujarat Titans vs Mumbai Indians,Ahmedabad,League,
31-03-24,2024,7:30 PM,Delhi Capitals vs Chennai Super Kings,Vizag,League,
01-04-24,2024,7:30 PM,Mumbai Indians vs Rajasthan Royals,Mumbai,League,
02-04-24,2024,7:30 PM,Royal Challengers Bangalore vs Lucknow Super Giants,Bengaluru,League,
03-04-24,2024,7:30 PM,Delhi Capitals vs Kolkata Knight Riders,Vizag,League,
04-04-24,2024,7:30 PM,Gujarat Titans vs Punjab Kings,Ahmedabad,League,
05-04-24,2024,7:30 PM,Sunrisers Hyderabad vs Chennai Super Kings,Hyderabad,League,
06-04-24,2024,7:30 PM,Rajasthan Royals vs Royal Challengers Bangalore,Jaipur,League,
07-04-24,2024,3:30 PM,Mumbai Indians vs Delhi Capitals,Mumbai,League,
07-04-24,2024,7:30 PM,Lucknow Super Giants vs Gujarat Titans,Lucknow,League,
Winner of season: 
2024


pdfs/dream-11-IPL-2020-schedule-UAE.pdf

Date,Year,Time,Teams,Venue,Match Type,Result
19-SEP-20,2020,7:30PM,Mumbai Indians vs Chennai Super Kings,Abu Dhabi,League,
20-SEP-20,2020,7:30PM,Delhi Capitals vs Kings XI Punjab,Dubai,League,
21-SEP-20,2020,7:30PM,Sunrisers Hyderabad vs Royal Challengers Bangalore,Dubai,League,
22-SEP-20,2020,7:30PM,Rajasthan Royals vs Chennai Super Kings,Sharjah,League,
23-SEP-20,2020,7:30PM,Kolkata Knight Riders vs Mumbai Indians,Abu Dhabi,League,
24-SEP-20,2020,7:30PM,Kings XI Punjab vs Royal Challengers Bangalore,Dubai,League,
25-SEP-20,2020,7:30PM,Chennai Super Kings vs Delhi Capitals,Dubai,League,
26-SEP-20,2020,7:30PM,Kolkata Knight Riders vs Sunrisers Hyderabad,Abu Dhabi,League,
27-SEP-20,2020,7:30PM,Rajasthan Royals vs Kings XI Punjab,Sharjah,League,
28-SEP-20,2020,7:30PM,Royal Challengers Bangalore vs Mumbai Indians,Dubai,League,
29-SEP-20,2020,7:30PM,Delhi Capitals vs Sunrisers Hyderabad,Abu Dhabi,League,
30-SEP-20,2020,7:30PM,Rajasthan Royals vs Kolkata Knight Riders,Dubai,League,
1-OCT-20,2020,7:30PM,Kings XI Punjab vs Mumbai Indians,Abu Dhabi,League,
2-OCT-20,2020,3:30PM,Royal Challengers Bangalore vs Rajasthan Royals,Abu Dhabi,League,
2-OCT-20,2020,7:30PM,Delhi Capitals vs Kolkata Knight Riders,Sharjah,League,
3-OCT-20,2020,3:30PM,Mumbai Indians vs Sunrisers Hyderabad,Sharjah,League,
3-OCT-20,2020,7:30PM,Kings XI Punjab vs Chennai Super Kings,Dubai,League,
4-OCT-20,2020,3:30PM,Royal Challengers Bangalore vs Delhi Capitals,Dubai,League,
5-OCT-20,2020,7:30PM,Mumbai Indians vs Rajasthan Royals,Abu Dhabi,League,
6-OCT-20,2020,7:30PM,Kolkata Knight Riders vs Chennai Super Kings,Abu Dhabi,League,
7-OCT-20,2020,7:30PM,Sunrisers Hyderabad vs Kings XI Punjab,Dubai,League,
8-OCT-20,2020,7:30PM,Rajasthan Royals vs Delhi Capitals,Sharjah,League,
9-OCT-20,2020,7:30PM,Kings XI Punjab vs Kolkata Knight Riders,Abu Dhabi,League,
10-OCT-20,2020,3:30PM,Chennai Super Kings vs Royal Challengers Bangalore,Dubai,League,
10-OCT-20,2020,7:30PM,Mumbai Indians vs Delhi Capitals,Abu Dhabi,League,
11-OCT-20,2020,3:30PM,Sunrisers Hyderabad vs Rajasthan Royals,Dubai,League,
11-OCT-20,2020,7:30PM,Chennai Super Kings vs Royal Challengers Bangalore,Abu Dhabi,League,
12-OCT-20,2020,7:30PM,Royal Challengers Bangalore vs Kolkata Knight Riders,Sharjah,League,
13-OCT-20,2020,7:30PM,Sunrisers Hyderabad vs Chennai Super Kings,Dubai,League,
14-OCT-20,2020,7:30PM,Delhi Capitals vs Rajasthan Royals,Dubai,League,
15-OCT-20,2020,7:30PM,Royal Challengers Bangalore vs Kings XI Punjab,Sharjah,League,
16-OCT-20,2020,7:30PM,Mumbai Indians vs Kolkata Knight Riders,Abu Dhabi,League,
17-OCT-20,2020,3:30PM,Rajasthan Royals vs Royal Challengers Bangalore,Dubai,League,
17-OCT-20,2020,7:30PM,Delhi Capitals vs Chennai Super Kings,Sharjah,League,
18-OCT-20,2020,3:30PM,Sunrisers Hyderabad vs Kolkata Knight Riders,Abu Dhabi,League,
18-OCT-20,2020,7:30PM,Mumbai Indians vs Kings XI Punjab,Dubai,League,
