Date,Year,Time,Teams,Venue,Match Type,Result
March 12,2010,8:00 PM IST,Kolkata Knight Riders Vs Deccan Chargers,Dr DY Patil Sports Academy Mumbai,League,Kolkata Knight Riders Won by 11 Run(s)
March 13,2010,4:00 PM IST,Mumbai Indians Vs Rajasthan Royals,Brabourne Stadium Mumbai,League,Mumbai Indians Won by 4 Run(s)
March 13,2010,8:00 PM IST,Kings XI Punjab Vs Delhi Capitals,Punjab Cricket Association Stadium Mohali Chandigarh,League,Delhi Capitals Won by 5 Wicket(s)
March 14,2010,4:00 PM IST,Deccan Chargers Vs Chennai Super Kings,MA Chidambaram Stadium Chepauk Chennai,League,Deccan Chargers Won by 31 Run(s)
March 14,2010,8:00 PM IST,Royal Challengers Bangalore Vs Kolkata Knight Riders,Eden Gardens Kolkata,League,Kolkata Knight Riders Won by 7 Wicket(s)
March 15,2010,8:00 PM IST,Rajasthan Royals Vs Delhi Capitals,Sardar Patel Stadium Motera Ahmedabad,League,Delhi Capitals Won by 6 Wicket(s)
March 16,2010,4:00 PM IST,Kings XI Punjab Vs Royal Challengers Bangalore,M Chinnaswamy Stadium Bangalore,League,Royal Challengers Bangalore Won by 8 Wicket(s)
March 16,2010,8:00 PM IST,Chennai Super Kings Vs Kolkata Knight Riders,Eden Gardens Kolkata,League,Chennai Super Kings Won by 55 Run(s)
March 17,2010,8:00 PM IST,Mumbai Indians Vs Delhi Capitals,Feroz Shah Kotla Delhi,League,Mumbai Indians Won by 98 Run(s)
March 18,2010,8:00 PM IST,Rajasthan Royals Vs Royal Challengers Bangalore,M Chinnaswamy Stadium Bangalore,League,Royal Challengers Bangalore Won by 10 Wicket(s)
March 19,2010,4:00 PM IST,Delhi Capitals Vs Chennai Super Kings,Feroz Shah Kotla Delhi,League,Chennai Super Kings Won by 5 Wicket(s)
March 19,2010,8:00 PM IST,Deccan Chargers Vs Kings XI Punjab,Barabati Stadium Cuttack,League,Deccan Chargers Won by 6 Run(s)
March 20,2010,4:00 PM IST,Mumbai Indians Vs Royal Challengers Bangalore,Brabourne Stadium Mumbai,League,Royal Challengers Bangalore Won by 7 Wicket(s)
March 20,2010,8:00 PM IST,Rajasthan Royals Vs Kolkata Knight Riders,Sardar Patel Stadium Motera Ahmedabad,League,Rajasthan Royals Won by 34 Run(s)
March 21,2010,4:00 PM IST,Deccan Chargers Vs Delhi Capitals,Barabati Stadium Cuttack,League,Deccan Chargers Won by 10 Run(s)
March 21,2010,8:00 PM IST,Kings XI Punjab Vs Chennai Super Kings,MA Chidambaram Stadium Chepauk Chennai,League,Kings XI Punjab Won by
March 22,2010,8:00 PM IST,Kolkata Knight Riders Vs Mumbai Indians,Brabourne Stadium Mumbai,League,Mumbai Indians Won by 7 Wicket(s)
March 23,2010,8:00 PM IST,Royal Challengers Bangalore Vs Chennai Super Kings,M Chinnaswamy Stadium Bangalore,League,Royal Challengers Bangalore Won by 36 Run(s)
March 24,2010,8:00 PM IST,Rajasthan Royals Vs Kings XI Punjab,Punjab Cricket Association Stadium Mohali Chandigarh,League,Rajasthan Royals Won by 31 Run(s)
March 25,2010,4:00 PM IST,Chennai Super Kings Vs Mumbai Indians,Brabourne Stadium Mumbai,League,Mumbai Indians Won by 5 Wicket(s)
March 25,2010,8:00 PM IST,Delhi Capitals Vs Royal Challengers Bangalore,M Chinnaswamy Stadium Bangalore,League,Delhi Capitals Won by 17 Run(s)
March 26,2010,8:00 PM IST,Deccan Chargers Vs Rajasthan Royals,Sardar Patel Stadium Motera Ahmedabad,League,Rajasthan Royals Won by 8 Wicket(s)
March 27,2010,8:00 PM IST,Kolkata Knight Riders Vs Kings XI Punjab,Punjab Cricket Association Stadium Mohali Chandigarh,League,Kolkata Knight Riders Won by 39 Run(s)
March 28,2010,4:00 PM IST,Mumbai Indians Vs Deccan Chargers,Dr DY Patil Sports Academy Mumbai,League,Mumbai Indians Won by 41 Run(s)
March 28,2010,8:00 PM IST,Rajasthan Royals Vs Chennai Super Kings,Sardar Patel Stadium Motera Ahmedabad,League,Rajasthan Royals Won by 17 Run(s)
March 29,2010,8:00 PM IST,Delhi Capitals Vs Kolkata Knight Riders,Feroz Shah Kotla Delhi,League,Delhi Capitals Won by 40 Run(s)
March 30,2010,8:00 PM IST,Kings XI Punjab Vs Mumbai Indians,Brabourne Stadium Mumbai,League,Mumbai Indians Won by 4 Wicket(s)
March 31,2010,4:00 PM IST,Royal Challengers Bangalore Vs Chennai Super Kings,MA Chidambaram Stadium Chepauk Chennai,League,Chennai Super Kings Won by 5 Wicket(s)
March 31,2010,8:00 PM IST,Delhi Capitals Vs Rajasthan Royals,Feroz Shah Kotla Delhi,League,Delhi Capitals Won by 67 Run(s)
April 1,2010,8:00 PM IST,Kolkata Knight Riders Vs Deccan Chargers,Eden Gardens Kolkata,League,Kolkata Knight Riders Won by 24 Run(s)
April 2,2010,8:00 PM IST,Kings XI Punjab Vs Royal Challengers Bangalore,Punjab Cricket Association Stadium Mohali Chandigarh,League,Royal Challengers Bangalore Won by 6 Wicket(s)
April 3,2010,4:00 PM IST,Chennai Super Kings Vs Rajasthan Royals,MA Chidambaram Stadium Chepauk Chennai,League,Chennai Super Kings Won by 23 Run(s)
April 3,2010,8:00 PM IST,Mumbai Indians Vs Deccan Chargers,Brabourne Stadium Mumbai,League,Mumbai Indians Won by 63 Run(s)
April 4,2010,4:00 PM IST,Kolkata Knight Riders Vs Kings XI Punjab,Eden Gardens Kolkata,League,Kings XI Punjab Won by 8 Wicket(s)
April 4,2010,8:00 PM IST,Delhi Capitals Vs Royal Challengers Bangalore,Feroz Shah Kotla Delhi,League,Delhi Capitals Won by 37 Run(s)
April 5,2010,8:00 PM IST,Rajasthan Royals Vs Deccan Chargers,Vidarbha Cricket Association Stadium Jamtha Nagpur,League,Rajasthan Royals Won by 2 Run(s)
April 6,2010,8:00 PM IST,Chennai Super Kings Vs Mumbai Indians,MA Chidambaram Stadium Chepauk Chennai,League,Chennai Super Kings Won by 24 Run(s)
April 7,2010,4:00 PM IST,Kings XI Punjab Vs Rajasthan Royals,Sawai Mansingh Stadium Jaipur,League,Rajasthan Royals Won by 9 Wicket(s)
April 7,2010,8:00 PM IST,Kolkata Knight Riders Vs Delhi Capitals,Eden Gardens Kolkata,League,Kolkata Knight Riders Won by 14 Run(s)
April 8,2010,8:00 PM IST,Royal Challengers Bangalore Vs Deccan Chargers,M Chinnaswamy Stadium Bangalore,League,Deccan Chargers Won by 7 Wicket(s)
April 9,2010,8:00 PM IST,Mumbai Indians Vs Kings XI Punjab,Punjab Cricket Association Stadium Mohali Chandigarh,League,Kings XI Punjab Won by 6 Wicket(s)
April 10,2010,4:00 PM IST,Chennai Super Kings Vs Deccan Chargers,Vidarbha Cricket Association Stadium Jamtha Nagpur,League,Deccan Chargers Won by 6 Wicket(s)
April 10,2010,8:00 PM IST,Kolkata Knight Riders Vs Royal Challengers Bangalore,M Chinnaswamy Stadium Bangalore,League,Royal Challengers Bangalore Won by 7 Wicket(s)
April 11,2010,4:00 PM IST,Delhi Capitals Vs Kings XI Punjab,Feroz Shah Kotla Delhi,League,Kings XI Punjab Won by 7 Wicket(s)
April 11,2010,8:00 PM IST,Mumbai Indians Vs Rajasthan Royals,Sawai Mansingh Stadium Jaipur,League,Mumbai Indians Won by 37 Run(s)
