Date,Time,Teams,Venue,Match Type,Result
April 4,8:00 PM,Chennai Super Kings Vs Mumbai Indians,MA Chidambaram Stadium, Chepauk, Chennai,League,Mumbai Indians Won by 8 Wicket(s)
April 5,8:00 PM,Kolkata Knight Riders Vs Delhi Capitals,Eden Gardens, Kolkata,League,Delhi Capitals Won by 8 Wicket(s)
April 6,4:00 PM,Pune Warriors India Vs Mumbai Indians,Wankhede Stadium, Mumbai,League,Pune Warriors India Won by 28 Run(s)
April 6,8:00 PM,Rajasthan Royals Vs Kings XI Punjab,Sawai Mansingh Stadium, Jaipur,League,Rajasthan Royals Won by 31 Run(s)
April 7,4:00 PM,Royal Challengers Bangalore Vs Delhi Capitals,M Chinnaswamy Stadium, Bangalore,League,Royal Challengers Bangalore Won by 20 Run(s)
April 7,8:00 PM,Chennai Super Kings Vs Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam,League,Chennai Super Kings Won by 74 Run(s)
April 8,4:00 PM,Pune Warriors India Vs Kings XI Punjab,Subrata Roy Sahara Stadium, Pune,League,Pune Warriors India Won by 22 Run(s)
April 8,8:00 PM,Rajasthan Royals Vs Kolkata Knight Riders,Sawai Mansingh Stadium, Jaipur,League,Rajasthan Royals Won by 22 Run(s)
April 9,8:00 PM,Deccan Chargers Vs Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam,League,Mumbai Indians Won by 5 Wicket(s)
April 10,4:00 PM,Kolkata Knight Riders Vs Royal Challengers Bangalore,M Chinnaswamy Stadium, Bangalore,League,Kolkata Knight Riders Won by 42 Run(s)
April 10,8:00 PM,Chennai Super Kings Vs Delhi Capitals,Feroz Shah Kotla, Delhi,League,Delhi Capitals Won by 8 Wicket(s)
April 11,8:00 PM,Mumbai Indians Vs Rajasthan Royals,Wankhede Stadium, Mumbai,League,Mumbai Indians Won by 27 Run(s)
April 12,4:00 PM,Pune Warriors India Vs Kings XI Punjab,Punjab Cricket Association Stadium, Mohali, Chandigarh,League,Kings XI Punjab Won by 7 Wicket(s)
April 12,8:00 PM,Royal Challengers Bangalore Vs Chennai Super Kings,MA Chidambaram Stadium, Chepauk, Chennai,League,Chennai Super Kings Won by 5 Wicket(s)
April 13,8:00 PM,Rajasthan Royals Vs Kolkata Knight Riders,Eden Gardens, Kolkata,League,Kolkata Knight Riders Won by 5 Wicket(s)
April 14,8:00 PM,Chennai Super Kings Vs Pune Warriors India,Subrata Roy Sahara Stadium, Pune,League,Pune Warriors India Won by 7 Wicket(s)
April 15,4:00 PM,Rajasthan Royals Vs Royal Challengers Bangalore,M Chinnaswamy Stadium, Bangalore,League,Rajasthan Royals Won by 59 Run(s)
