Match,Date,Time Local,Time GMT,Venue,Team 1,Team 2
1st IPL,Apr 16, 2014,18:30,14:30 GMT,Sheikh Zayed Stadium, Abu Dhabi,Mumbai Indians,Kolkata Knight Riders
2nd IPL,Apr 17, 2014,18:30,14:30 GMT,Sharjah Cricket Association Stadium, Sharjah,Delhi Daredevils,Royal Challengers Bangalore
3rd IPL,Apr 18, 2014,14:30,10:30 GMT,Sheikh Zayed Stadium, Abu Dhabi,Chennai Super Kings,Kings XI Punjab
4th IPL,Apr 18, 2014,18:30,14:30 GMT,Sheikh Zayed Stadium, Abu Dhabi,Sunrisers Hyderabad,Rajasthan Royals
5th IPL,Apr 19, 2014,14:30,10:30 GMT,Dubai International Cricket Stadium, Dubai,Royal Challengers Bangalore,Mumbai Indians
6th IPL,Apr 19, 2014,18:30,14:30 GMT,Dubai International Cricket Stadium, Dubai,Kolkata Knight Riders,Delhi Daredevils
7th IPL,Apr 20, 2014,18:30,14:30 GMT,Sharjah Cricket Association Stadium, Sharjah,Rajasthan Royals,Kings XI Punjab
8th IPL,Apr 21, 2014,18:30,14:30 GMT,Sheikh Zayed Stadium, Abu Dhabi,Chennai Super Kings,Delhi Daredevils
9th IPL,Apr 22, 2014,18:30,14:30 GMT,Sharjah Cricket Association Stadium, Sharjah,Kings XI Punjab,Sunrisers Hyderabad
10th IPL,Apr 23, 2014,18:30,14:30 GMT,Dubai International Cricket Stadium, Dubai,Rajasthan Royals,Chennai Super Kings
11th IPL,Apr 24, 2014,18:30,14:30 GMT,Sharjah Cricket Association Stadium, Sharjah,Royal Challengers Bangalore,Kolkata Knight Riders
12th IPL,Apr 25, 2014,14:30,10:30 GMT,Dubai International Cricket Stadium, Dubai,Sunrisers Hyderabad,Delhi Daredevils
13th IPL,Apr 25, 2014,18:30,14:30 GMT,Dubai International Cricket Stadium, Dubai,Chennai Super Kings,Mumbai Indians
14th IPL,Apr 26, 2014,14:30,10:30 GMT,Sheikh Zayed Stadium, Abu Dhabi,Rajasthan Royals,Royal Challengers Bangalore
15th IPL,Apr 26, 2014,18:30,14:30 GMT,Sheikh Zayed Stadium, Abu Dhabi,Kings XI Punjab,Kolkata Knight Riders
16th IPL,Apr 27, 2014,14:30,10:30 GMT,Sharjah Cricket Association Stadium, Sharjah,Delhi Daredevils,Mumbai Indians
17th IPL,Apr 27, 2014,18:30,14:30 GMT,Sharjah Cricket Association Stadium, Sharjah,Sunrisers Hyderabad,Chennai Super Kings
18th IPL,Apr 28, 2014,18:30,14:30 GMT,Dubai International Cricket Stadium, Dubai,Royal Challengers Bangalore,Kings XI Punjab
19th IPL,Apr 29, 2014,18:30,14:30 GMT,Sheikh Zayed Stadium, Abu Dhabi,Kolkata Knight Riders,Rajasthan Royals
20th IPL,Apr 30, 2014,18:30,14:30 GMT,Dubai International Cricket Stadium, Dubai,Mumbai Indians,Sunrisers Hyderabad
21st T20,May 2, 2014,20:00,14:30 GMT,JSCA International Cricket Stadium, Ranchi,Chennai Super Kings,Kolkata Knight Riders
22nd T20,May 3, 2014,16:00,10:30 GMT,Wankhede Stadium, Mumbai,Mumbai Indians,Kings XI Punjab
23rd T20,May 3, 2014,20:00,14:30 GMT,Feroz Shah Kotla, Delhi,Delhi Daredevils,Rajasthan Royals
24th T20,May 4, 2014,20:00,14:30 GMT,M.Chinnaswamy Stadium, Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad
25th T20,May 5, 2014,16:00,10:30 GMT,Sardar Patel Stadium Motera, Ahmedabad,Rajasthan Royals,Kolkata Knight Riders
26th T20,May 5, 2014,20:00,14:30 GMT,Feroz Shah Kotla, Delhi,Delhi Daredevils,Chennai Super Kings
27th T20,May 6, 2014,20:00,14:30 GMT,Wankhede Stadium, Mumbai,Mumbai Indians,Royal Challengers Bangalore
28th T20,May 7, 2014,16:00,10:30 GMT,Feroz Shah Kotla, Delhi,Delhi Daredevils,Kolkata Knight Riders
29th T20,May 7, 2014,20:00,14:30 GMT,Barabati Stadium, Cuttack,Kings XI Punjab,Chennai Super Kings
30th T20,May 8, 2014,20:00,14:30 GMT,Sardar Patel Stadium Motera, Ahmedabad,Rajasthan Royals,Sunrisers Hyderabad
31st T20,May 9, 2014,20:00,14:30 GMT,M.Chinnaswamy Stadium, Bangalore,Royal Challengers Bangalore,Kings XI Punjab
32nd T20,May 10, 2014,16:00,10:30 GMT,Feroz Shah Kotla, Delhi,Delhi Daredevils,Sunrisers Hyderabad
33rd T20,May 10, 2014,20:00,14:30 GMT,Wankhede Stadium, Mumbai,Mumbai Indians,Chennai Super Kings
34th T20,May 11, 2014,16:00,10:30 GMT,Barabati Stadium, Cuttack,Kings XI Punjab,Kolkata Knight Riders
35th T20,May 11, 2014,20:00,14:30 GMT,M.Chinnaswamy Stadium, Bangalore,Royal Challengers Bangalore,Rajasthan Royals
36th T20,May 12, 2014,20:00,14:30 GMT,Rajiv Gandhi Int. Stadium, Hyderabad,Sunrisers Hyderabad,Mumbai Indians
37th T20,May 13, 2014,16:00,10:30 GMT,JSCA International Cricket Stadium, Ranchi,Chennai Super Kings,Rajasthan Royals
38th T20,May 13, 2014,20:00,14:30 GMT,M.Chinnaswamy Stadium, Bangalore,Royal Challengers Bangalore,Delhi Daredevils
39th T20,May 14, 2014,16:00,10:30 GMT,Rajiv Gandhi Int. Stadium, Hyderabad,Sunrisers Hyderabad,Kings XI Punjab
40th T20,May 14, 2014,20:00,14:30 GMT,Eden Gardens, Kolkata,Kolkata Knight Riders,Mumbai Indians
41st T20,May 15, 2014,20:00,14:30 GMT,Sardar Patel Stadium Motera, Ahmedabad,Rajasthan Royals,Delhi Daredevils
42nd T20,May 18, 2014,16:00,10:30 GMT,MA Chidambaram Stadium - Chepauk, Chennai,Chennai Super Kings,Royal Challengers Bangalore
43rd T20,May 18, 2014,20:00,14:30 GMT,Rajiv Gandhi Int. Stadium, Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders
44th T20,May 19, 2014,16:00,10:30 GMT,Sardar Patel Stadium Motera, Ahmedabad,Rajasthan Royals,Mumbai Indians
45th T20,May 19, 2014,20:00,14:30 GMT,Feroz Shah Kotla, Delhi,Delhi Daredevils,Kings XI Punjab
