Date,Year,Time,Teams,Venue,Match Type,Result
April 9,2016,8:00 PM IST,Mumbai Indians vs Rising Pune Supergiant,Wankhede Stadium, Mumbai,League,Rising Pune Supergiant Won by 9 Wicket(s)
April 10,2016,8:00 PM IST,Delhi Capitals vs Kolkata Knight Riders,Eden Gardens, Kolkata,League,Kolkata Knight Riders Won by 9 Wicket(s)
April 11,2016,8:00 PM IST,Kings XI Punjab vs Gujarat Lions,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,League,Gujarat Lions Won by 5 Wicket(s)
April 12,2016,8:00 PM IST,Royal Challengers Bangalore vs Sunrisers Hyderabad,M Chinnaswamy Stadium, Bangalore,League,Royal Challengers Bangalore Won by 45 Run(s)
April 13,2016,8:00 PM IST,Kolkata Knight Riders vs Mumbai Indians,Eden Gardens, Kolkata,League,Mumbai Indians Won by 6 Wicket(s)
April 14,2016,8:00 PM IST,Rising Pune Supergiant vs Gujarat Lions,Saurashtra Cricket Association Stadium, Rajkot,League,Gujarat Lions Won by 7 Wicket(s)
April 15,2016,8:00 PM IST,Kings XI Punjab vs Delhi Capitals,Feroz Shah Kotla, Delhi,League,Delhi Capitals Won by 8 Wicket(s)
April 16,2016,4:00 PM IST,Mumbai Indians vs Gujarat Lions,Wankhede Stadium, Mumbai,League,Gujarat Lions Won by 3 Wicket(s)
April 16,2016,8:00 PM IST,Sunrisers Hyderabad vs Kolkata Knight Riders,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Kolkata Knight Riders Won by 8 Wicket(s)
April 17,2016,4:00 PM IST,Rising Pune Supergiant vs Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,League,Kings XI Punjab Won by 6 Wicket(s)
April 17,2016,8:00 PM IST,Royal Challengers Bangalore vs Delhi Capitals,M Chinnaswamy Stadium, Bangalore,League,Delhi Capitals Won by 7 Wicket(s)
April 18,2016,8:00 PM IST,Mumbai Indians vs Sunrisers Hyderabad,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Sunrisers Hyderabad Won by 7 Wicket(s)
April 19,2016,8:00 PM IST,Kings XI Punjab vs Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,League,Kolkata Knight Riders Won by 6 Wicket(s)
April 20,2016,8:00 PM IST,Royal Challengers Bangalore vs Mumbai Indians,Wankhede Stadium, Mumbai,League,Mumbai Indians Won by 6 Wicket(s)
April 21,2016,8:00 PM IST,Gujarat Lions vs Sunrisers Hyderabad,Saurashtra Cricket Association Stadium, Rajkot,League,Sunrisers Hyderabad Won by 10 Wicket(s)
April 22,2016,8:00 PM IST,Royal Challengers Bangalore vs Rising Pune Supergiant,Maharashtra Cricket Association Stadium, Pune,League,Royal Challengers Bangalore Won by 13 Run(s)
April 23,2016,4:00 PM IST,Delhi Capitals vs Mumbai Indians,Feroz Shah Kotla, Delhi,League,Delhi Capitals Won by 10 Run(s)
April 23,2016,8:00 PM IST,Kings XI Punjab vs Sunrisers Hyderabad,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Sunrisers Hyderabad Won by 5 Wicket(s)
April 24,2016,4:00 PM IST,Royal Challengers Bangalore vs Gujarat Lions,Saurashtra Cricket Association Stadium, Rajkot,League,Gujarat Lions Won by 6 Wicket(s)
April 24,2016,8:00 PM IST,Rising Pune Supergiant vs Kolkata Knight Riders,Maharashtra Cricket Association Stadium, Pune,League,Kolkata Knight Riders Won by 2 Wicket(s)
April 25,2016,8:00 PM IST,Mumbai Indians vs Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,League,Mumbai Indians Won by 25 Run(s)
April 26,2016,8:00 PM IST,Sunrisers Hyderabad vs Rising Pune Supergiant,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Rising Pune Supergiant Won by DL Method
April 27,2016,8:00 PM IST,Gujarat Lions vs Delhi Capitals,Feroz Shah Kotla, Delhi,League,Gujarat Lions Won by 1 Run(s)
April 28,2016,8:00 PM IST,Kolkata Knight Riders vs Mumbai Indians,Wankhede Stadium, Mumbai,League,Mumbai Indians Won by 6 Wicket(s)
April 29,2016,8:00 PM IST,Rising Pune Supergiant vs Gujarat Lions,Maharashtra Cricket Association Stadium, Pune,League,Gujarat Lions Won by 3 Wicket(s)
April 30,2016,4:00 PM IST,Sunrisers Hyderabad vs Royal Challengers Bangalore,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Sunrisers Hyderabad Won by 15 Run(s)
April 30,2016,8:00 PM IST,Delhi Capitals vs Kolkata Knight Riders,Feroz Shah Kotla, Delhi,League,Delhi Capitals Won by 27 Run(s)
May 1,2016,4:00 PM IST,Kings XI Punjab vs Gujarat Lions,Saurashtra Cricket Association Stadium, Rajkot,League,Kings XI Punjab Won by 23 Run(s)
May 1,2016,8:00 PM IST,Rising Pune Supergiant vs Mumbai Indians,Maharashtra Cricket Association Stadium, Pune,League,Mumbai Indians Won by 8 Wicket(s)
May 2,2016,8:00 PM IST,Royal Challengers Bangalore vs Kolkata Knight Riders,M Chinnaswamy Stadium, Bangalore,League,Kolkata Knight Riders Won by 5 Wicket(s)
May 3,2016,8:00 PM IST,Gujarat Lions vs Delhi Capitals,Saurashtra Cricket Association Stadium, Rajkot,League,Delhi Capitals Won by 8 Wicket(s)
May 4,2016,8:00 PM IST,Kolkata Knight Riders vs Kings XI Punjab,Eden Gardens, Kolkata,League,Kolkata Knight Riders Won by 7 Run(s)
May 5,2016,8:00 PM IST,Delhi Capitals vs Rising Pune Supergiant,Feroz Shah Kotla, Delhi,League,Rising Pune Supergiant Won by 7 Wicket(s)
May 6,2016,8:00 PM IST,Gujarat Lions vs Sunrisers Hyderabad,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Sunrisers Hyderabad Won by 5 Wicket(s)
May 7,2016,4:00 PM IST,Rising Pune Supergiant vs Royal Challengers Bangalore,M Chinnaswamy Stadium, Bangalore,League,Royal Challengers Bangalore Won by 7 Wicket(s)
May 7,2016,8:00 PM IST,Kings XI Punjab vs Delhi Capitals,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,League,Kings XI Punjab Won by 9 Run(s)
May 8,2016,4:00 PM IST,Sunrisers Hyderabad vs Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam,League,Sunrisers Hyderabad Won by 85 Run(s)
May 8,2016,8:00 PM IST,Kolkata Knight Riders vs Gujarat Lions,Eden Gardens, Kolkata,League,Gujarat Lions Won by 5 Wicket(s)
May 9,2016,8:00 PM IST,Royal Challengers Bangalore vs Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,League,Royal Challengers Bangalore Won by 1 Run(s)
May 10,2016,8:00 PM IST,Sunrisers Hyderabad vs Rising Pune Supergiant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam,League,Sunrisers Hyderabad Won by 4 Run(s)
May 11,2016,8:00 PM IST,Royal Challengers Bangalore vs Mumbai Indians,M Chinnaswamy Stadium, Bangalore,League,Mumbai Indians Won by 6 Wicket(s)
May 12,2016,8:00 PM IST,Sunrisers Hyderabad vs Delhi Capitals,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Delhi Capitals Won by 7 Wicket(s)
May 13,2016,8:00 PM IST,Mumbai Indians vs Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam,League,Kings XI Punjab Won by 7 Wicket(s)
May 14,2016,4:00 PM IST,Royal Challengers Bangalore vs Gujarat Lions,M Chinnaswamy Stadium, Bangalore,League,Royal Challengers Bangalore Won by 144 Run(s)
May 14,2016,8:00 PM IST,Rising Pune Supergiant vs Kolkata Knight Riders,Eden Gardens, Kolkata,League,Kolkata Knight Riders Won by DL Method
May 15,2016,4:00 PM IST,Mumbai Indians vs Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam,League,Mumbai Indians Won by 80 Run(s)
May 15,2016,8:00 PM IST,Kings XI Punjab vs Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,League,Sunrisers Hyderabad Won by 7 Wicket(s)
May 16,2016,8:00 PM IST,Kolkata Knight Riders vs Royal Challengers Bangalore,Eden Gardens, Kolkata,League,Royal Challengers Bangalore Won by 9 Wicket(s)
May 17,2016,8:00 PM IST,Delhi Capitals vs Rising Pune Supergiant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam,League,Rising Pune Supergiant Won by DL Method
May 18,2016,8:00 PM IST,Royal Challengers Bangalore vs Kings XI Punjab,M Chinnaswamy Stadium, Bangalore,League,Royal Challengers Bangalore Won by DL Method
May 19,2016,8:00 PM IST,Kolkata Knight Riders vs Gujarat Lions,Green Park, Kanpur,League,Gujarat Lions Won by 6 Wicket(s)
May 20,2016,8:00 PM IST,Sunrisers Hyderabad vs Delhi Capitals,Shaheed Veer Narayan Singh International Stadium, Raipur,League,Delhi Capitals Won by 6 Wicket(s)
May 21,2016,4:00 PM IST,Kings XI Punjab vs Rising Pune Supergiant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam,League,Rising Pune Supergiant Won by 4 Wicket(s)
