Day,Date,Time,Match,Home Team,Away Team,Venue
Wed,05-April,8pm,1,Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad
Thu,06-April,8pm,2,Rising Pune Supergiant,Mumbai Indians,Pune
Fri,07-April,8pm,3,Gujarat Lions,Kolkata Knight Riders,Rajkot
Fri,07-April,4pm,4,Kings XI Punjab,Rising Pune Supergiant,Indore
Sat,08-April,8pm,5,Royal Challengers Bangalore,Delhi Daredevils,Bengaluru
Sat,08-April,4pm,6,Sunrisers Hyderabad,Gujarat Lions,Hyderabad
Sun,09-April,8pm,7,Mumbai Indians,Kolkata Knight Riders,Mumbai
Mon,10-April,8pm,8,Kings XI Punjab,Royal Challengers Bangalore,Indore
Tue,11-April,8pm,9,Rising Pune Supergiant,Delhi Daredevils,Pune
Wed,12-April,8pm,10,Mumbai Indians,Sunrisers Hyderabad,Mumbai
Thu,13-April,8pm,11,Kings XI Punjab,Delhi Daredevils,Kolkata
Thu,13-April,4pm,12,Kolkata Knight Riders,Sunrisers Hyderabad,Delhi
Fri,14-April,8pm,13,Royal Challengers Bangalore,Mumbai Indians,Bengaluru
Fri,14-April,4pm,14,Gujarat Lions,Rising Pune Supergiant,Rajkot
Sat,15-April,8pm,15,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata
Sat,15-April,4pm,16,Delhi Daredevils,Kings XI Punjab,Delhi
Sun,16-April,8pm,17,Mumbai Indians,Rising Pune Supergiant,Mumbai
Sun,16-April,4pm,18,Royal Challengers Bangalore,Gujarat Lions,Bengaluru
Mon,17-April,8pm,19,Delhi Daredevils,Rising Pune Supergiant,Rajkot
Tue,18-April,8pm,20,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad
Wed,19-April,8pm,21,Gujarat Lions,Royal Challengers Bangalore,Hyderabad
Thu,20-April,8pm,22,Kings XI Punjab,Delhi Daredevils,Indore
Fri,21-April,8pm,23,Kolkata Knight Riders,Gujarat Lions,Kolkata
Fri,21-April,4pm,24,Delhi Daredevils,Mumbai Indians,Delhi
Sat,22-April,8pm,25,Rising Pune Supergiant,Kings XI Punjab,Pune
Sat,22-April,4pm,26,Gujarat Lions,Royal Challengers Bangalore,Rajkot
Sun,23-April,8pm,27,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata
Mon,24-April,8pm,28,Mumbai Indians,Rising Pune Supergiant,Mumbai
Tue,25-April,8pm,29,Royal Challengers Bangalore,Sunrisers Hyderabad,Bengaluru
Wed,26-April,8pm,30,Rising Pune Supergiant,Kolkata Knight Riders,Pune
Thu,27-April,8pm,31,Royal Challengers Bangalore,Gujarat Lions,Bengaluru
Fri,28-April,4pm,32,Kolkata Knight Riders,Delhi Daredevils,Kolkata
Fri,28-April,8pm,33,Kings XI Punjab,Sunrisers Hyderabad,Mohali
Sat,29-April,4pm,34,Rising Pune Supergiant,Royal Challengers Bangalore,Pune
Sat,29-April,8pm,35,Gujarat Lions,Mumbai Indians,Rajkot
Sun,30-April,4pm,36,Kings XI Punjab,Delhi Daredevils,Mohali
Sun,30-April,8pm,37,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad
Mon,01-May,4pm,38,Mumbai Indians,Royal Challengers Bangalore,Mumbai
Mon,01-May,8pm,39,Rising Pune Supergiant,Gujarat Lions,Pune
Tue,02-May,8pm,40,Delhi Daredevils,Sunrisers Hyderabad,Delhi
Wed,03-May,8pm,41,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata
Thu,04-May,8pm,42,Delhi Daredevils,Gujarat Lions,Delhi
Fri,05-May,8pm,43,Royal Challengers Bangalore,Kings XI Punjab,Bengaluru
Fri,05-May,4pm,44,Sunrisers Hyderabad,Rising Pune Supergiant,Hyderabad
Sat,06-May,8pm,45,Mumbai Indians,Delhi Daredevils,Mumbai
Sat,06-May,4pm,46,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru
Sun,07-May,8pm,47,Kings XI Punjab,Gujarat Lions,Mohali
Mon,08-May,8pm,48,Sunrisers Hyderabad,Mumbai Indians,Hyderabad
Tue,09-May,8pm,49,Kings XI Punjab,Kolkata Knight Riders,Mohali
Wed,10-May,8pm,50,Gujarat Lions,Delhi Daredevils,Kanpur
Thu,11-May,8pm,51,Mumbai Indians,Kings XI Punjab,Mumbai
Fri,12-May,8pm,52,Delhi Daredevils,Rising Pune Supergiant,Delhi
Sat,13-May,4pm,53,Gujarat Lions,Sunrisers Hyderabad,Kanpur
Sat,13-May,8pm,54,Kolkata Knight Riders,Mumbai Indians,Kolkata
Sun,14-May,4pm,55,Rising Pune Supergiant,Kings XI Punjab,Pune
Sun,14-May,8pm,56,Delhi Daredevils,Royal Challengers Bangalore,Delhi
Tue,16-May,8pm,Qualifier 1,First placed team,Second placed team,TBC
Wed,17-May,8pm,Eliminator,Third placed team,Fourth placed team,TBC
Fri,19-May,8pm,Qualifier 2,Loser of Qualifier 1,Winner of Eliminator,TBC
Sun,21-May,8pm,Final,Winner of Qualifier 1,Winner of Qualifier 2,Hyderabad
2017
