Date,Time,Teams,Venue,Type,Result
March 23,2019,8:00 PM,Chennai Super Kings Vs Royal Challengers Bangalore,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 7 Wicket(s)
March 24,2019,4:00 PM,Kolkata Knight Riders Vs Sunrisers Hyderabad,Eden Gardens, Kolkata,Leag,Kolkata Knight Riders Won by 6 Wicket(s)
March 24,2019,8:00 PM,Mumbai Indians Vs Delhi Capitals,Wankhede Stadium, Mumbai,Leag,Delhi Capitals Won by 37 Run(s)
March 25,2019,8:00 PM,Rajasthan Royals Vs Kings XI Punjab,Sawai Mansingh Stadium, Jaipur,Leag,Kings XI Punjab Won by 14 Run(s)
March 26,2019,8:00 PM,Delhi Capitals Vs Chennai Super Kings,Feroz Shah Kotla, Delhi,Leag,Chennai Super Kings Won by 6 Wicket(s)
March 27,2019,8:00 PM,Kolkata Knight Riders Vs Kings XI Punjab,Eden Gardens, Kolkata,Leag,Kolkata Knight Riders Won by 28 Run(s)
March 28,2019,8:00 PM,Royal Challengers Bangalore Vs Mumbai Indians,M Chinnaswamy Stadium, Bangalore,Leag,Mumbai Indians Won by 6 Run(s)
March 29,2019,8:00 PM,Sunrisers Hyderabad Vs Rajasthan Royals,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Sunrisers Hyderabad Won by 5 Wicket(s)
March 30,2019,4:00 PM,Kings XI Punjab Vs Mumbai Indians,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,Leag,Kings XI Punjab Won by 8 Wicket(s)
March 30,2019,8:00 PM,Delhi Capitals Vs Kolkata Knight Riders,Feroz Shah Kotla, Delhi,Leag,Kolkata Knight Riders Won by 
March 31,2019,4:00 PM,Chennai Super Kings Vs Rajasthan Royals,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 8 Run(s)
March 31,2019,8:00 PM,Sunrisers Hyderabad Vs Royal Challengers Bangalore,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Sunrisers Hyderabad Won by 118 Run(s)
April 1,2019,8:00 PM,Kings XI Punjab Vs Delhi Capitals,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,Leag,Kings XI Punjab Won by 14 Run(s)
April 2,2019,8:00 PM,Rajasthan Royals Vs Royal Challengers Bangalore,Sawai Mansingh Stadium, Jaipur,Leag,Rajasthan Royals Won by 7 Wicket(s)
April 3,2019,8:00 PM,Mumbai Indians Vs Chennai Super Kings,Wankhede Stadium, Mumbai,Leag,Mumbai Indians Won by 37 Run(s)
April 4,2019,8:00 PM,Delhi Capitals Vs Sunrisers Hyderabad,Feroz Shah Kotla, Delhi,Leag,Sunrisers Hyderabad Won by 5 Wicket(s)
April 5,2019,8:00 PM,Royal Challengers Bangalore Vs Kolkata Knight Riders,M Chinnaswamy Stadium, Bangalore,Leag,Kolkata Knight Riders Won by 5 Wicket(s)
April 6,2019,4:00 PM,Chennai Super Kings Vs Kings XI Punjab,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 22 Run(s)
April 6,2019,8:00 PM,Sunrisers Hyderabad Vs Mumbai Indians,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Mumbai Indians Won by 40 Run(s)
April 7,2019,4:00 PM,Royal Challengers Bangalore Vs Delhi Capitals,M Chinnaswamy Stadium, Bangalore,Leag,Delhi Capitals Won by 4 Wicket(s)
April 7,2019,8:00 PM,Rajasthan Royals Vs Kolkata Knight Riders,Sawai Mansingh Stadium, Jaipur,Leag,Kolkata Knight Riders Won by 8 Wicket(s)
April 8,2019,8:00 PM,Kings XI Punjab Vs Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,Leag,Kings XI Punjab Won by 6 Wicket(s)
April 9,2019,8:00 PM,Chennai Super Kings Vs Kolkata Knight Riders,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 7 Wicket(s)
April 10,2019,8:00 PM,Mumbai Indians Vs Kings XI Punjab,Wankhede Stadium, Mumbai,Leag,Mumbai Indians Won by 3 Wicket(s)
April 11,2019,8:00 PM,Rajasthan Royals Vs Chennai Super Kings,Sawai Mansingh Stadium, Jaipur,Leag,Chennai Super Kings Won by 4 Wicket(s)
April 12,2019,8:00 PM,Kolkata Knight Riders Vs Delhi Capitals,Eden Gardens, Kolkata,Leag,Delhi Capitals Won by 7 Wicket(s)
April 13,2019,4:00 PM,Kings XI Punjab Vs Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,Leag,Royal Challengers Bangalore Won by 8 Wicket(s)
April 13,2019,8:00 PM,Mumbai Indians Vs Rajasthan Royals,Wankhede Stadium, Mumbai,Leag,Rajasthan Royals Won by 4 Wicket(s)
April 14,2019,4:00 PM,Kolkata Knight Riders Vs Chennai Super Kings,Eden Gardens, Kolkata,Leag,Chennai Super Kings Won by 5 Wicket(s)
April 14,2019,8:00 PM,Sunrisers Hyderabad Vs Delhi Capitals,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Delhi Capitals Won by 39 Run(s)
April 15,2019,8:00 PM,Mumbai Indians Vs Royal Challengers Bangalore,Wankhede Stadium, Mumbai,Leag,Mumbai Indians Won by 5 Wicket(s)
April 16,2019,8:00 PM,Kings XI Punjab Vs Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,Leag,Kings XI Punjab Won by 12 Run(s)
April 17,2019,8:00 PM,Sunrisers Hyderabad Vs Chennai Super Kings,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Sunrisers Hyderabad Won by 6 Wicket(s)
April 18,2019,8:00 PM,Delhi Capitals Vs Mumbai Indians,Feroz Shah Kotla, Delhi,Leag,Mumbai Indians Won by 40 Run(s)
April 19,2019,8:00 PM,Kolkata Knight Riders Vs Royal Challengers Bangalore,Eden Gardens, Kolkata,Leag,Royal Challengers Bangalore Won by 10 Run(s)
April 20,2019,4:00 PM,Rajasthan Royals Vs Mumbai Indians,Sawai Mansingh Stadium, Jaipur,Leag,Rajasthan Royals Won by 5 Wicket(s)
April 20,2019,8:00 PM,Delhi Capitals Vs Kings XI Punjab,Feroz Shah Kotla, Delhi,Leag,Delhi Capitals Won by 5 Wicket(s)
April 21,2019,4:00 PM,Royal Challengers Bangalore Vs Chennai Super Kings,M Chinnaswamy Stadium, Bangalore,Leag,Royal Challengers Bangalore Won by 1 Run(s)
April 21,2019,8:00 PM,Sunrisers Hyderabad Vs Kolkata Knight Riders,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Sunrisers Hyderabad Won by 9 Wicket(s)
April 22,2019,8:00 PM,Rajasthan Royals Vs Delhi Capitals,Sawai Mansingh Stadium, Jaipur,Leag,Delhi Capitals Won by 6 Wicket(s)
April 23,2019,8:00 PM,Chennai Super Kings Vs Sunrisers Hyderabad,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 6 Wicket(s)
April 24,2019,8:00 PM,Royal Challengers Bangalore Vs Kings XI Punjab,M Chinnaswamy Stadium, Bangalore,Leag,Royal Challengers Bangalore Won by 17 Run(s)
April 25,2019,8:00 PM,Kolkata Knight Riders Vs Rajasthan Royals,Eden Gardens, Kolkata,Leag,Rajasthan Royals Won by 3 Wicket(s)
April 26,2019,8:00 PM,Chennai Super Kings Vs Mumbai Indians,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Mumbai Indians Won by 46 Run(s)
April 27,2019,8:00 PM,Rajasthan Royals Vs Sunrisers Hyderabad,Sawai Mansingh Stadium, Jaipur,Leag,Rajasthan Royals Won by 7 Wicket(s)
April 28,2019,4:00 PM,Delhi Capitals Vs Royal Challengers Bangalore,Feroz Shah Kotla, Delhi,Leag,Delhi Capitals Won by 16 Run(s)
April 28,2019,8:00 PM,Kolkata Knight Riders Vs Mumbai Indians,Eden Gardens, Kolkata,Leag,Kolkata Knight Riders Won by 34 Run(s)
April 29,2019,8:00 PM,Sunrisers Hyderabad Vs Kings XI Punjab,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Sunrisers Hyderabad Won by 45 Run(s)
April 30,2019,8:00 PM,Royal Challengers Bangalore Vs Rajasthan Royals,M Chinnaswamy Stadium, Bangalore,Leag,No Result
May 1,2019,8:00 PM,Chennai Super Kings Vs Delhi Capitals,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 80 Run(s)
May 2,2019,8:00 PM,Mumbai Indians Vs Sunrisers Hyderabad,Wankhede Stadium, Mumbai,Leag,Sunrisers Hyderabad Won by 
May 3,2019,8:00 PM,Kings XI Punjab Vs Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,Leag,Kolkata Knight Riders Won by 7 Wicket(s)
May 4,2019,4:00 PM,Delhi Capitals Vs Rajasthan Royals,Feroz Shah Kotla, Delhi,Leag,Delhi Capitals Won by 5 Wicket(s)
May 4,2019,8:00 PM,Royal Challengers Bangalore Vs Sunrisers Hyderabad,M Chinnaswamy Stadium, Bangalore,Leag,Royal Challengers Bangalore Won by 4 Wicket(s)
May 5,2019,4:00 PM,Mumbai Indians Vs Kolkata Knight Riders,Wankhede Stadium, Mumbai,Leag,Mumbai Indians Won by 9 Wicket(s)
May 5,2019,8:00 PM,Kings XI Punjab Vs Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh,Leag,Kings XI Punjab Won by 6 Wicket(s)
May 7,2019,8:00 PM,Mumbai Indians Vs Chennai Super Kings,MA Chidambaram Stadium, Chepauk, Chennai,Quali,Mumbai Indians Won by 6 Wicket(s)
May 8,2019,8:00 PM,Delhi Capitals Vs Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam,Elimi,Delhi Capitals Won by 2 Wicket(s)
May 10,2019,8:00 PM,Chennai Super Kings Vs Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam,Quali,Chennai Super Kings Won by 6 Wicket(s)
May 12,2019,8:00 PM,Mumbai Indians Vs Chennai Super Kings,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Final,Mumbai Indians Won by 1 Run(s)
2019
