Match,Match Day,Day,Date,IST,UAE,Venue,Home,Away
1,1,SAT,19-SEP-20,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,CHENNAI SUPER KINGS
2,2,SUN,20-SEP-20,7:30PM,6:00PM,DUBAI,DELHI CAPITALS,KINGS XI PUNJAB
3,3,MON,21-SEP-20,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,ROYAL CHALLENGERS BANGALORE
4,4,TUE,22-SEP-20,7:30PM,6:00PM,SHARJAH,RAJASTHAN ROYALS,CHENNAI SUPER KINGS
5,5,WED,23-SEP-20,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,MUMBAI INDIANS
6,6,THU,24-SEP-20,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE
7,7,FRI,25-SEP-20,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,DELHI CAPITALS
8,8,SAT,26-SEP-20,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD
9,9,SUN,27-SEP-20,7:30PM,6:00PM,SHARJAH,RAJASTHAN ROYALS,KINGS XI PUNJAB
10,10,MON,28-SEP-20,7:30PM,6:00PM,DUBAI,ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS
11,11,TUE,29-SEP-20,7:30PM,6:00PM,ABU DHABI,DELHI CAPITALS,SUNRISERS HYDERABAD
12,12,WED,30-SEP-20,7:30PM,6:00PM,DUBAI,RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS
13,13,THU,1-OCT-20,7:30PM,6:00PM,ABU DHABI,KINGS XI PUNJAB,MUMBAI INDIANS
14,14,FRI,2-OCT-20,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,SUNRISERS HYDERABAD
15,15,SAT,3-OCT-20,3:30PM,2:00PM,ABU DHABI,ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS
15,16,SAT,3-OCT-20,7:30PM,6:00PM,SHARJAH,DELHI CAPITALS,KOLKATA KNIGHT RIDERS
16,17,SUN,4-OCT-20,3:30PM,2:00PM,SHARJAH,MUMBAI INDIANS,SUNRISERS HYDERABAD
16,18,SUN,4-OCT-20,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,CHENNAI SUPER KINGS
17,19,MON,5-OCT-20,7:30PM,6:00PM,DUBAI,ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS
18,20,TUE,6-OCT-20,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,RAJASTHAN ROYALS
19,21,WED,7-OCT-20,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS
20,22,THU,8-OCT-20,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,KINGS XI PUNJAB
21,23,FRI,9-OCT-20,7:30PM,6:00PM,SHARJAH,RAJASTHAN ROYALS,DELHI CAPITALS
22,24,SAT,10-OCT-20,3:30PM,2:00PM,ABU DHABI,KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS
22,25,SAT,10-OCT-20,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE
23,26,SUN,11-OCT-20,3:30PM,2:00PM,DUBAI,SUNRISERS HYDERABAD,RAJASTHAN ROYALS
23,27,SUN,11-OCT-20,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,DELHI CAPITALS
24,28,MON,12-OCT-20,7:30PM,6:00PM,SHARJAH,ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS
25,29,TUE,13-OCT-20,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,CHENNAI SUPER KINGS
26,30,WED,14-OCT-20,7:30PM,6:00PM,DUBAI,DELHI CAPITALS,RAJASTHAN ROYALS
27,31,THU,15-OCT-20,7:30PM,6:00PM,SHARJAH,ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB
28,32,FRI,16-OCT-20,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,KOLKATA KNIGHT RIDERS
29,33,SAT,17-OCT-20,3:30PM,2:00PM,DUBAI,RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE
29,34,SAT,17-OCT-20,7:30PM,6:00PM,SHARJAH,DELHI CAPITALS,CHENNAI SUPER KINGS
30,35,SUN,18-OCT-20,3:30PM,2:00PM,ABU DHABI,SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS
30,36,SUN,18-OCT-20,7:30PM,6:00PM,DUBAI,MUMBAI INDIANS,KINGS XI PUNJAB
31,37,MON,19-OCT-20,7:30PM,6:00PM,ABU DHABI,CHENNAI SUPER KINGS,DELHI CAPITALS
32,38,TUE,20-OCT-20,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,RAJASTHAN ROYALS
