Match,Day,Match No.,Date,Time,Home Team,Away Team,Venue
1,Fri,1,31-Mar-23,7:30 PM,Gujarat Titans,Chennai Super Kings,Ahmedabad
2,Sat,2,01-Apr-23,3:30 PM,Punjab Kings,Kolkata Knight Riders,Mohali
2,Sat,3,01-Apr-23,7:30 PM,Lucknow Super Giants,Delhi Capitals,Lucknow
3,Sun,4,02-Apr-23,3:30 PM,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad
3,Sun,5,02-Apr-23,7:30 PM,Royal Challengers Bangalore,Mumbai Indians,Bengaluru
4,Mon,6,03-Apr-23,7:30 PM,Chennai Super Kings,Lucknow Super Giants,Chennai
5,Tue,7,04-Apr-23,7:30 PM,Delhi Capitals,Gujarat Titans,Delhi
6,Wed,8,05-Apr-23,7:30 PM,Rajasthan Royals,Punjab Kings,Guwahati
7,Thu,9,06-Apr-23,7:30 PM,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata
8,Fri,10,07-Apr-23,7:30 PM,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow
9,Sat,11,08-Apr-23,3:30 PM,Rajasthan Royals,Delhi Capitals,Guwahati
9,Sat,12,08-Apr-23,7:30 PM,Mumbai Indians,Chennai Super Kings,Mumbai
10,Sun,13,09-Apr-23,3:30 PM,Gujarat Titans,Kolkata Knight Riders,Ahmedabad
10,Sun,14,09-Apr-23,7:30 PM,Sunrisers Hyderabad,Punjab Kings,Hyderabad
11,Mon,15,10-Apr-23,7:30 PM,Royal Challengers Bangalore,Lucknow Super Giants,Bengaluru
12,Tue,16,11-Apr-23,7:30 PM,Delhi Capitals,Mumbai Indians,Delhi
13,Wed,17,12-Apr-23,7:30 PM,Chennai Super Kings,Rajasthan Royals,Chennai
14,Thu,18,13-Apr-23,7:30 PM,Punjab Kings,Gujarat Titans,Mohali
15,Fri,19,14-Apr-23,7:30 PM,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata
16,Sat,20,15-Apr-23,3:30 PM,Royal Challengers Bangalore,Delhi Capitals,Bengaluru
16,Sat,21,15-Apr-23,7:30 PM,Lucknow Super Giants,Punjab Kings,Lucknow
17,Sun,22,16-Apr-23,3:30 PM,Mumbai Indians,Kolkata Knight Riders,Mumbai
17,Sun,23,16-Apr-23,7:30 PM,Gujarat Titans,Rajasthan Royals,Ahmedabad
18,Mon,24,17-Apr-23,7:30 PM,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru
19,Tue,25,18-Apr-23,7:30 PM,Sunrisers Hyderabad,Mumbai Indians,Hyderabad
20,Wed,26,19-Apr-23,7:30 PM,Rajasthan Royals,Lucknow Super Giants,Jaipur
21,Thu,27,20-Apr-23,3:30 PM,Punjab Kings,Royal Challengers Bangalore,Mohali
21,Thu,28,20-Apr-23,7:30 PM,Delhi Capitals,Kolkata Knight Riders,Delhi
22,Fri,29,21-Apr-23,7:30 PM,Chennai Super Kings,Sunrisers Hyderabad,Chennai
23,Sat,30,22-Apr-23,3:30 PM,Lucknow Super Giants,Gujarat Titans,Lucknow
23,Sat,31,22-Apr-23,7:30 PM,Mumbai Indians,Punjab Kings,Mumbai
24,Sun,32,23-Apr-23,3:30 PM,Royal Challengers Bangalore,Rajasthan Royals,Bengaluru
24,Sun,33,23-Apr-23,7:30 PM,Kolkata Knight Riders,Chennai Super Kings,Kolkata
25,Mon,34,24-Apr-23,7:30 PM,Sunrisers Hyderabad,Delhi Capitals,Hyderabad
26,Tue,35,25-Apr-23,7:30 PM,Gujarat Titans,Mumbai Indians,Ahmedabad
27,Wed,36,26-Apr-23,7:30 PM,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru
28,Thu,37,27-Apr-23,7:30 PM,Rajasthan Royals,Chennai Super Kings,Jaipur
29,Fri,38,28-Apr-23,7:30 PM,Punjab Kings,Lucknow Super Giants,Mohali
30,Sat,39,29-Apr-23,3:30 PM,Kolkata Knight Riders,Gujarat Titans,Kolkata
30,Sat,40,29-Apr-23,7:30 PM,Delhi Capitals,Sunrisers Hyderabad,Delhi
31,Sun,41,30-Apr-23,3:30 PM,Chennai Super Kings,Punjab Kings,Chennai
31,Sun,42,30-Apr-23,7:30 PM,Mumbai Indians,Rajasthan Royals,Mumbai
32,Mon,43,01-May-23,7:30 PM,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow
33,Tue,44,02-May-23,7:30 PM,Gujarat Titans,Delhi Capitals,Ahmedabad
34,Wed,45,03-May-23,3:30 PM,Lucknow Super Giants,Chennai Super Kings,Lucknow
34,Thu,46,03-May-23,7:30 PM,Punjab Kings,Mumbai Indians,Mohali
35,Fri,47,04-May-23,7:30 PM,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad
36,Sat,48,05-May-23,7:30 PM,Rajasthan Royals,Gujarat Titans,Jaipur
37,Sat,49,06-May-23,3:30 PM,Chennai Super Kings,Mumbai Indians,Chennai
37,Sat,50,06-May-23,7:30 PM,Delhi Capitals,Royal Challengers Bangalore,Delhi
38,Sun,51,07-May-23,3:30 PM,Gujarat Titans,Lucknow Super Giants,Ahmedabad
38,Sun,52,07-May-23,7:30 PM,Rajasthan Royals,Sunrisers Hyderabad,Jaipur
39,Mon,53,08-May-23,7:30 PM,Kolkata Knight Riders,Punjab Kings,Kolkata
40,Tue,54,09-May-23,7:30 PM,Mumbai Indians,Royal Challengers Bangalore,Mumbai
41,Wed,55,10-May-23,7:30 PM,Chennai Super Kings,Delhi Capitals,Chennai
42,Thu,56,11-May-23,7:30 PM,Kolkata Knight Riders,Rajasthan Royals,Kolkata
43,Fri,57,12-May-23,7:30 PM,Mumbai Indians,Gujarat Titans,Mumbai
44,Sat,58,13-May-23,3:30 PM,Sunrisers Hyderabad,Lucknow Super Giants,Hyderabad
44,Sat,59,13-May-23,7:30 PM,Delhi Capitals,Punjab Kings,Delhi
45,Sun,60,14-May-23,3:30 PM,Rajasthan Royals,Royal Challengers Bangalore,Jaipur
45,Sun,61,14-May-23,7:30 PM,Chennai Super Kings,Kolkata Knight Riders,Chennai
46,Mon,62,15-May-23,7:30 PM,Gujarat Titans,Sunrisers Hyderabad,Ahmedabad
47,Tue,63,16-May-23,7:30 PM,Lucknow Super Giants,Mumbai Indians,Lucknow
48,Wed,64,17-May-23,7:30 PM,Punjab Kings,Delhi Capitals,Dharamshala
49,Thu,65,18-May-23,7:30 PM,Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad
50,Fri,66,19-May-23,7:30 PM,Punjab Kings,Rajasthan Royals,Dharamshala
51,Sat,67,20-May-23,3:30 PM,Delhi Capitals,Chennai Super Kings,Delhi
51,Sat,68,20-May-23,7:30 PM,Kolkata Knight Riders,Lucknow Super Giants,Kolkata
52,Sun,69,21-May-23,3:30 PM,Mumbai Indians,Sunrisers Hyderabad,Mumbai
52,Sun,70,21-May-23,7:30 PM,Royal Challengers Bangalore,Gujarat Titans,Bengaluru
53,Tue,71,23-May-23,7:30 PM,Qualifier 1 - Team 1 vs Team 2,Chennai
54,Wed,72,24-May-23,7:30 PM,Eliminator - Team 3 vs Team 4,Chennai
55,Fri,73,26-May-23,7:30 PM,Qualifier 2 - Winner of Eliminator vs Loser of Qualifier 1,Ahmedabad
56,Sun,74,28-May-23,7:30 PM,TATA IPL 2023 Final - Winner of Qualifier 1 vs. Winner of Qualifier 2,Ahmedabad
2023
