Date,Time,Teams,Venue,Type,Result
April 8,8:00 PM,Chennai Super Kings Vs Kolkata Knight Riders,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 2 Run(s)
April 9,4:00 PM,Kochi Tuskers Kerala Vs Royal Challengers Bangalore,Nehru Stadium, Kochi,Leag,Royal Challengers Bangalore Won by 6 Wicket(s)
April 9,8:00 PM,Deccan Chargers Vs Rajasthan Royals,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Rajasthan Royals Won by 8 Wicket(s)
April 10,4:00 PM,Kings XI Punjab Vs Pune Warriors India,Dr DY Patil Sports Academy, Mumbai,Leag,Pune Warriors India Won by 7 Wicket(s)
April 10,8:00 PM,Delhi Capitals Vs Mumbai Indians,Feroz Shah Kotla, Delhi,Leag,Mumbai Indians Won by 8 Wicket(s)
April 11,8:00 PM,Kolkata Knight Riders Vs Deccan Chargers,Eden Gardens, Kolkata,Leag,Kolkata Knight Riders Won by 9 Run(s)
April 12,4:00 PM,Royal Challengers Bangalore Vs Mumbai Indians,M Chinnaswamy Stadium, Bangalore,Leag,Mumbai Indians Won by 9 Wicket(s)
April 12,8:00 PM,Delhi Capitals Vs Rajasthan Royals,Sawai Mansingh Stadium, Jaipur,Leag,Rajasthan Royals Won by 6 Wicket(s)
April 13,4:00 PM,Chennai Super Kings Vs Kings XI Punjab,Punjab Cricket Association Stadium, Mohali, Chandigarh,Leag,Kings XI Punjab Won by 6 Wicket(s)
April 13,8:00 PM,Kochi Tuskers Kerala Vs Pune Warriors India,Dr DY Patil Sports Academy, Mumbai,Leag,Pune Warriors India Won by 4 Wicket(s)
April 14,8:00 PM,Deccan Chargers Vs Royal Challengers Bangalore,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Deccan Chargers Won by 33 Run(s)
April 15,4:00 PM,Mumbai Indians Vs Kochi Tuskers Kerala,Wankhede Stadium, Mumbai,Leag,Kochi Tuskers Kerala Won by 8 Wicket(s)
April 15,8:00 PM,Rajasthan Royals Vs Kolkata Knight Riders,Sawai Mansingh Stadium, Jaipur,Leag,Kolkata Knight Riders Won by 9 Wicket(s)
April 16,4:00 PM,Chennai Super Kings Vs Royal Challengers Bangalore,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 21 Run(s)
April 16,8:00 PM,Deccan Chargers Vs Kings XI Punjab,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Kings XI Punjab Won by 8 Wicket(s)
April 17,4:00 PM,Rajasthan Royals Vs Kolkata Knight Riders,Eden Gardens, Kolkata,Leag,Kolkata Knight Riders Won by 8 Wicket(s)
April 17,8:00 PM,Pune Warriors India Vs Delhi Capitals,Dr DY Patil Sports Academy, Mumbai,Leag,Delhi Capitals Won by 3 Wicket(s)
April 18,8:00 PM,Chennai Super Kings Vs Kochi Tuskers Kerala,Nehru Stadium, Kochi,Leag,Kochi Tuskers Kerala Won by DL Method
